time,frame_status,frame_path,brightness,saturation,edge_density,upper_text_edge_density,mid_text_edge_density,lower_text_edge_density,center_vertical_edge_score,center_horizontal_edge_score,possible_split_screen,possible_dense_text
0.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0000s.jpg,51.97,37.32,0.0587,0.0353,0.0538,0.0857,0.1582,0.2669,False,False
5.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0005s.jpg,49.14,35.5,0.0574,0.0353,0.0536,0.0814,0.1602,0.3178,False,False
10.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0010s.jpg,52.69,38.07,0.0554,0.0354,0.0495,0.0816,0.1504,0.3559,True,False
15.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0015s.jpg,36.97,50.8,0.0514,0.0354,0.0413,0.0816,0.1562,0.1907,False,False
20.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0020s.jpg,52.89,38.37,0.0564,0.0354,0.0514,0.0816,0.1523,0.3051,False,False
25.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0025s.jpg,53.32,38.16,0.0561,0.0354,0.0508,0.0817,0.1445,0.339,False,False
30.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0030s.jpg,38.03,25.29,0.0584,0.0355,0.0552,0.0819,0.1309,0.5254,True,False
35.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0035s.jpg,50.95,28.37,0.0595,0.0355,0.0574,0.0819,0.1191,0.678,True,False
40.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0040s.jpg,31.45,46.4,0.0547,0.0355,0.0478,0.0818,0.207,0.6271,True,False
45.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0045s.jpg,32.93,44.28,0.0591,0.0354,0.0565,0.082,0.1973,0.1441,False,False
50.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0050s.jpg,34.9,41.33,0.0674,0.0354,0.0731,0.0821,0.2051,0.6271,True,False
55.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0055s.jpg,34.72,45.04,0.07,0.0354,0.0784,0.0821,0.2051,0.6398,True,False
60.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0060s.jpg,36.41,41.78,0.073,0.0354,0.0843,0.0822,0.2012,0.4237,True,False
65.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0065s.jpg,37.14,41.23,0.073,0.0357,0.0842,0.0823,0.1953,0.7373,True,False
70.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0070s.jpg,53.02,38.03,0.0574,0.0357,0.0528,0.0824,0.1426,0.3602,True,False
75.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0075s.jpg,53.34,37.6,0.0578,0.0357,0.0536,0.0825,0.1582,0.3517,True,False
80.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0080s.jpg,55.9,34.94,0.0628,0.0357,0.0636,0.0826,0.1523,0.5085,True,False
85.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0085s.jpg,50.24,37.15,0.0669,0.0357,0.0718,0.0826,0.1699,0.7669,True,False
90.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0090s.jpg,50.41,37.35,0.0673,0.0357,0.0725,0.0827,0.166,0.6356,True,False
95.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0095s.jpg,48.15,36.51,0.0692,0.0357,0.0764,0.0827,0.166,0.8644,True,False
100.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0100s.jpg,48.07,37.09,0.0693,0.0357,0.0764,0.0828,0.168,0.8644,True,False
105.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0105s.jpg,47.84,37.39,0.0702,0.0357,0.0782,0.0829,0.1719,0.8602,True,False
110.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0110s.jpg,47.98,37.97,0.0702,0.0357,0.0781,0.0829,0.1719,0.8644,True,False
115.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0115s.jpg,48.19,37.81,0.0703,0.0357,0.0784,0.083,0.1719,0.8686,True,False
120.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0120s.jpg,52.84,38.44,0.0557,0.0357,0.049,0.0832,0.1367,0.3941,True,False
125.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0125s.jpg,53.5,37.58,0.0578,0.0357,0.0531,0.0832,0.1523,0.411,True,False
130.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0130s.jpg,42.12,38.43,0.0648,0.0357,0.0673,0.0832,0.166,0.7924,True,False
135.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0135s.jpg,50.07,36.18,0.0699,0.0357,0.0775,0.0833,0.1836,0.6314,True,False
140.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0140s.jpg,51.27,37.1,0.07,0.0357,0.0775,0.0834,0.1758,0.4831,True,False
145.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0145s.jpg,52.56,36.89,0.0679,0.0357,0.0733,0.0834,0.1738,0.5254,True,False
150.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0150s.jpg,53.04,38.29,0.068,0.0357,0.0736,0.0835,0.1758,0.5127,True,False
155.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0155s.jpg,52.61,39.13,0.069,0.0357,0.0755,0.0836,0.1699,0.5169,True,False
160.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0160s.jpg,52.93,39.96,0.0688,0.0357,0.075,0.0837,0.1758,0.5085,True,False
165.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0165s.jpg,55.01,37.79,0.0558,0.0357,0.0488,0.0838,0.1367,0.4407,True,False
170.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0170s.jpg,56.17,34.26,0.0595,0.0357,0.0564,0.0838,0.1309,0.5381,True,False
175.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0175s.jpg,52.25,39.87,0.0553,0.0357,0.0479,0.084,0.1406,0.3856,True,False
180.0,ok,dist/reference_analysis/20260602_最新剪辑参考4条深度解析_latest_4_editing_references_deep_parse/reference_04/frames_5s/t0180s.jpg,53.12,33.75,0.0748,0.0357,0.087,0.0839,0.1719,0.5254,True,False
